Address,City,State,Zipcode,Price,Bedrooms,Bathrooms,Living Area,Lot Area,Type
3601 Fuqua St,Houston,TX,77047,4200000.0,3.0,2.0,19308.0,0.7465105601469237,MULTI_FAMILY
5747 Longmont Ln,Houston,TX,77057,825000.0,4.0,4.0,3326.0,3131.0,SINGLE_FAMILY
4155 Amir St,Houston,TX,77072,235000.0,3.0,2.0,1526.0,4456.188,SINGLE_FAMILY
15022 Brookpoint Dr,Houston,TX,77062,360000.0,4.0,3.0,2294.0,9016.92,SINGLE_FAMILY
7514 Tremendo Dr,Houston,TX,77083,252000.0,3.0,2.0,1382.0,6307.488,SINGLE_FAMILY
2520 Houston Ave #201,Houston,TX,77009,718500.0,2.0,2.0,1450.0,,CONDO
1714 Vassar St,Houston,TX,77098,775000.0,3.0,4.0,3402.0,3245.22,SINGLE_FAMILY
4606 Dewberry St,Houston,TX,77021,135000.0,,0.0,,6708.24,LOT
14407 Andrea Way Ln,Houston,TX,77083,342000.0,4.0,3.0,2316.0,6412.032,SINGLE_FAMILY
7634 Hopewell Ln,Houston,TX,77071,389000.0,3.0,2.0,2436.0,4861.296,SINGLE_FAMILY
1936 E Allegro St,Houston,TX,77080,250000.0,3.0,3.0,1908.0,5044.248,SINGLE_FAMILY
13307 Eldridge Meadow Dr,Houston,TX,77041,289900.0,3.0,3.0,1957.0,4965.84,SINGLE_FAMILY
4331 Lake Cypress Cir,Houston,TX,77068,339900.0,3.0,3.0,2725.0,5715.072,SINGLE_FAMILY
10509 Rosehaven Dr,Houston,TX,77051,359000.0,3.0,3.0,1891.0,5580.036,SINGLE_FAMILY
3115 Locke Ln,Houston,TX,77019,4295000.0,4.0,6.0,5377.0,8646.66,SINGLE_FAMILY
5719 Nina Lee Ln,Houston,TX,77092,450000.0,3.0,2.0,1512.0,7200.468,SINGLE_FAMILY
1107 Wheatley Springs Ln,Houston,TX,77091,354900.0,3.0,3.0,1620.0,1863.0,SINGLE_FAMILY
1106 Wheatley Springs Ln,Houston,TX,77091,379900.0,3.0,3.0,1776.0,1816.0,SINGLE_FAMILY
419 Stonework Oaks Ln,Houston,TX,77076,309900.0,3.0,3.0,1779.0,2126.0,SINGLE_FAMILY
1504 Luzon St,Houston,TX,77009,384000.0,4.0,2.0,1880.0,5000.0,MULTI_FAMILY
13810 Longview St,Houston,TX,77015,215000.0,3.0,3.0,1344.0,5248.98,SINGLE_FAMILY
10819 Sagebluff Dr,Houston,TX,77089,229000.0,4.0,2.0,1919.0,7370.352,SINGLE_FAMILY
3743 Meadow Place Dr,Houston,TX,77082,1600.0,3.0,4.0,1036.0,4726.26,MULTI_FAMILY
4122 Stonehenge Trl,Houston,TX,77066,235000.0,4.0,3.0,2746.0,6242.148,SINGLE_FAMILY
8322 Edgemoor Dr,Houston,TX,77036,310000.0,4.0,2.0,2066.0,9469.944,SINGLE_FAMILY
8019 Beech Cove Ln,Houston,TX,77072,402000.0,6.0,4.0,2402.0,7605.0,MULTI_FAMILY
8123 Laura Koppe Rd,Houston,TX,77028,409000.0,3.0,2.0,2300.0,3510.0,MULTI_FAMILY
10115 Metronome Dr,Houston,TX,77080,525000.0,4.0,2.0,1989.0,7413.912,SINGLE_FAMILY
5932 Petty St #A,Houston,TX,77007,539900.0,4.0,4.0,2524.0,2060.388,SINGLE_FAMILY
3006 Locke Ln,Houston,TX,77019,3495000.0,4.0,7.0,6780.0,0.2588,SINGLE_FAMILY
2000 Bagby St APT 11437,Houston,TX,77002,329000.0,1.0,2.0,987.0,,CONDO
5104 Caroline St #702,Houston,TX,77004,1199000.0,2.0,3.0,2673.0,,CONDO
4119 Chasewick Cir,Houston,TX,77014,320000.0,3.0,3.0,2405.0,6751.8,SINGLE_FAMILY
412 Eleanor St,Houston,TX,77009,475000.0,3.0,2.0,1376.0,5301.252,SINGLE_FAMILY
26876 Monarch Manor Ln,Kingwood,TX,77339,349000.0,4.0,3.0,2721.0,5340.456,SINGLE_FAMILY
8713 Southwark St,Houston,TX,77028,399000.0,3.0,2.0,2300.0,3540.0,MULTI_FAMILY
9603 Knights Station Dr,Houston,TX,77045,400000.0,4.0,4.0,2128.0,2583.108,SINGLE_FAMILY
10606 Cutting Horse Ln,Houston,TX,77064,430000.0,3.0,3.0,2649.0,8163.144,SINGLE_FAMILY
